ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-11-28,74949.1783299147,-5659.128844417163,55205.60846714322,74949.1783299147,74949.1783299147,-50055.225131568026,-50055.225131568026,-50055.225131568026,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134649852,6641.878134649852,6641.878134649852,-26039.855070463876,-26039.855070463876,-26039.855070463876,0.0,0.0,0.0,24893.95319834668
2025-11-29,75350.64070508975,-16513.629004265247,45729.40088697106,75350.64070508975,75350.64070508975,-58659.39432565827,-58659.39432565827,-58659.39432565827,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792818799677,-1903.3792818799677,-1903.3792818799677,-26098.7668480243,-26098.7668480243,-26098.7668480243,0.0,0.0,0.0,16691.246379431483
2025-11-30,75752.1030802648,-13234.444917113455,48242.52147751065,75752.1030802648,75752.1030802648,-58970.68310707353,-58970.68310707353,-58970.68310707353,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884172787,-1906.6827884172787,-1906.6827884172787,-26406.752122902246,-26406.752122902246,-26406.752122902246,0.0,0.0,0.0,16781.419973191274
2025-12-01,76153.56545543985,-10560.273552284532,48930.73261904359,76153.56545543985,76153.56545543985,-57992.7397518471,-57992.7397518471,-57992.7397518471,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469834356,-358.0915469834356,-358.0915469834356,-26977.400009109657,-26977.400009109657,-26977.400009109657,0.0,0.0,0.0,18160.825703592753
2025-12-02,76555.0278306149,-13766.206025227953,44258.76921866724,76555.0278306149,76555.0278306149,-60269.5956627182,-60269.5956627182,-60269.5956627182,-30657.248195754,-30657.248195754,-30657.248195754,-1794.147143494092,-1794.147143494092,-1794.147143494092,-27818.20032347012,-27818.20032347012,-27818.20032347012,0.0,0.0,0.0,16285.432167896695
2025-12-03,76956.49020578995,-11622.098396250467,47888.044667451315,76956.49020578995,76956.49020578995,-58666.37282496908,-58666.37282496908,-58666.37282496908,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630251733,920.8536630251733,920.8536630251733,-28929.978292240256,-28929.978292240256,-28929.978292240256,0.0,0.0,0.0,18290.117380820862
2025-12-04,77357.952580965,-16149.2041399119,46148.02304418884,77357.952580965,77357.952580965,-62564.14888062586,-62564.14888062586,-62564.14888062586,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368659603,-1600.4310368659603,-1600.4310368659603,-30306.4696480059,-30306.4696480059,-30306.4696480059,0.0,0.0,0.0,14793.803700339136
2025-12-05,77759.41495614004,-8031.160306767445,51572.85466905378,77759.41495614004,77759.41495614004,-55949.422890819245,-55949.422890819245,-55949.422890819245,-30657.248195754,-30657.248195754,-30657.248195754,6641.8781346505475,6641.8781346505475,6641.8781346505475,-31934.05282971579,-31934.05282971579,-31934.05282971579,0.0,0.0,0.0,21809.992065320796
2025-12-06,78160.87733131509,-17416.3487418948,42623.34334198452,78160.87733131509,78160.87733131509,-66352.27901953156,-66352.27901953156,-66352.27901953156,-30657.248195754,-30657.248195754,-30657.248195754,-1903.379281895536,-1903.379281895536,-1903.379281895536,-33791.65154188202,-33791.65154188202,-33791.65154188202,0.0,0.0,0.0,11808.598311783528
2025-12-07,78562.33970649015,-20809.57912326443,41147.16966258605,78562.33970649015,78562.33970649015,-68414.74800611137,-68414.74800611137,-68414.74800611137,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884217926,-1906.6827884217926,-1906.6827884217926,-35850.81702193558,-35850.81702193558,-35850.81702193558,0.0,0.0,0.0,10147.591700378776
