ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-06-11,6700.5782887339865,-27750.9378196188,31380.294168800192,6700.5782887339865,6700.5782887339865,-5171.303193735884,-5171.303193735884,-5171.303193735884,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630279175,920.8536630279175,920.8536630279175,24565.091338990198,24565.091338990198,24565.091338990198,0.0,0.0,0.0,1529.2750949981028
2025-06-12,7102.040641707064,-31516.965910570456,29440.688896332296,7102.040641707064,7102.040641707064,-8059.620088486204,-8059.620088486204,-8059.620088486204,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368561253,-1600.4310368561253,-1600.4310368561253,24198.05914412392,24198.05914412392,24198.05914412392,0.0,0.0,0.0,-957.5794467791393
2025-06-13,7503.502994680139,-23055.360765597292,38510.89064833121,7503.502994680139,7503.502994680139,-210.0863675718433,-210.0863675718433,-210.0863675718433,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134646994,6641.878134646994,6641.878134646994,23805.283693535162,23805.283693535162,23805.283693535162,0.0,0.0,0.0,7293.416627108296
2025-06-14,7904.96534765322,-28851.522084365388,27930.375877805036,7904.96534765322,7904.96534765322,-9173.983499188507,-9173.983499188507,-9173.983499188507,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792818852453,-1903.3792818852453,-1903.3792818852453,23386.64397845074,23386.64397845074,23386.64397845074,0.0,0.0,0.0,-1269.018151535287
2025-06-15,8306.427700626298,-31471.377789685186,29654.032898639747,8306.427700626298,8306.427700626298,-9620.951558355975,-9620.951558355975,-9620.951558355975,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884283018,-1906.6827884283018,-1906.6827884283018,22942.97942582633,22942.97942582633,22942.97942582633,0.0,0.0,0.0,-1314.5238577296768
2025-06-16,8707.890053599376,-29370.92541752834,29233.128399073135,8707.890053599376,8707.890053599376,-8539.282360382009,-8539.282360382009,-8539.282360382009,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469757521,-358.0915469757521,-358.0915469757521,22476.057382347743,22476.057382347743,22476.057382347743,0.0,0.0,0.0,168.60769321736734
2025-06-17,9109.35241225638,-33057.32893851198,30729.60465504447,9109.35241225638,9109.35241225638,-10462.886289870346,-10462.886289870346,-10462.886289870346,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434834843,-1794.1471434834843,-1794.1471434834843,21988.509049367138,21988.509049367138,21988.509049367138,0.0,0.0,0.0,-1353.533877613967
2025-06-18,9510.814770913383,-28930.630615363985,29734.79093136535,9510.814770913383,9510.814770913383,-8252.658450923078,-8252.658450923078,-8252.658450923078,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630195115,920.8536630195115,920.8536630195115,21483.736081811414,21483.736081811414,21483.736081811414,0.0,0.0,0.0,1258.1563199903048
2025-06-19,9912.277129570384,-29951.467905857604,28107.899142927363,9912.277129570384,9912.277129570384,-11291.88819426869,-11291.88819426869,-11291.88819426869,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368533484,-1600.4310368533484,-1600.4310368533484,20965.79103833866,20965.79103833866,20965.79103833866,0.0,0.0,0.0,-1379.6110646983052
2025-06-20,10313.739488227384,-25296.35851822348,36850.8068055867,10313.739488227384,10313.739488227384,-3576.1343244402383,-3576.1343244402383,-3576.1343244402383,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134654923,6641.878134654923,6641.878134654923,20439.23573665884,20439.23573665884,20439.23573665884,0.0,0.0,0.0,6737.605163787146
2025-06-21,10715.201846884387,-32136.82889105209,28011.785961869075,10715.201846884387,10715.201846884387,-12651.645179295463,-12651.645179295463,-12651.645179295463,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819008136,-1903.3792819008136,-1903.3792819008136,19908.98229835935,19908.98229835935,19908.98229835935,0.0,0.0,0.0,-1936.443332411076
2025-06-22,11116.66420554139,-31207.535736641355,26436.261442196756,11116.66420554139,11116.66420554139,-13183.808745957198,-13183.808745957198,-13183.808745957198,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884328143,-1906.6827884328143,-1906.6827884328143,19380.122238229615,19380.122238229615,19380.122238229615,0.0,0.0,0.0,-2067.1445404158076
2025-06-23,11518.126564198394,-29314.05443413659,31840.518675275416,11518.126564198394,11518.126564198394,-12157.590397922038,-12157.590397922038,-12157.590397922038,-30657.248195754,-30657.248195754,-30657.248195754,-358.09154699024845,-358.09154699024845,-358.09154699024845,18857.749344822212,18857.749344822212,18857.749344822212,0.0,0.0,0.0,-639.4638337236447
2025-06-24,11919.588922855393,-31679.79145790665,26398.146319781372,11919.588922855393,11919.588922855393,-14104.613039334887,-14104.613039334887,-14104.613039334887,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434887326,-1794.1471434887326,-1794.1471434887326,18346.78229990785,18346.78229990785,18346.78229990785,0.0,0.0,0.0,-2185.0241164794934
2025-06-25,12321.051266208231,-28485.55036107713,31146.858041732015,12321.051266208231,12321.051266208231,-11884.601545062622,-11884.601545062622,-11884.601545062622,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630334961,920.8536630334961,920.8536630334961,17851.792987657886,17851.792987657886,17851.792987657886,0.0,0.0,0.0,436.44972114560915
2025-06-26,12722.513609561069,-31054.939333871775,26097.770737636478,12722.513609561069,12722.513609561069,-14880.832981992447,-14880.832981992447,-14880.832981992447,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368686222,-1600.4310368686222,-1600.4310368686222,17376.846250630177,17376.846250630177,17376.846250630177,0.0,0.0,0.0,-2158.3193724313787
2025-06-27,13123.975952913908,-22766.246428946164,36338.00618664995,13123.975952913908,13123.975952913908,-7090.013595949467,-7090.013595949467,-7090.013595949467,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134645524,6641.878134645524,6641.878134645524,16925.35646515901,16925.35646515901,16925.35646515901,0.0,0.0,0.0,6033.962356964441
2025-06-28,13525.438296266746,-34356.937191314035,26631.84352601132,13525.438296266746,13525.438296266746,-16060.661730547357,-16060.661730547357,-16060.661730547357,-30657.248195754,-30657.248195754,-30657.248195754,-1903.379281916382,-1903.379281916382,-1903.379281916382,16499.965747123028,16499.965747123028,16499.965747123028,0.0,0.0,0.0,-2535.2234342806114
2025-06-29,13926.900639619584,-30569.656170984712,28444.194494412703,13926.900639619584,13926.900639619584,-16461.48310576843,-16461.48310576843,-16461.48310576843,-30657.248195754,-30657.248195754,-30657.248195754,-1906.682788417113,-1906.682788417113,-1906.682788417113,16102.447878402681,16102.447878402681,16102.447878402681,0.0,0.0,0.0,-2534.5824661488477
2025-06-30,14328.362982972421,-31575.684819975588,28239.344780494197,14328.362982972421,14328.362982972421,-15281.698553348919,-15281.698553348919,-15281.698553348919,-30657.248195754,-30657.248195754,-30657.248195754,-358.09154698355115,-358.09154698355115,-358.09154698355115,15733.64118938863,15733.64118938863,15733.64118938863,0.0,0.0,0.0,-953.3355703764973
